PassengerId,Survived,Age,Pclass,NameLength,Fare,DeckCabin,DeckNumber,IsFemale
892,0,34.5,3,16,7.8292,7.59215034721,5.47810432098,0
893,1,47.0,3,32,7.0,77.2413495929,6.49404428673,1
894,0,62.0,2,25,9.6875,39.9521965173,4.30239291252,0
895,0,27.0,3,16,8.6625,11.1830985264,3.67197755799,0
896,1,22.0,3,44,12.2875,59.6737401933,3.81744821665,1
897,0,14.0,3,26,9.225,38.4513405383,4.53277240447,0
898,1,30.0,3,20,7.6292,41.8279977488,3.95874462576,1
899,0,26.0,2,28,29.0,22.3846815492,4.42131446069,0
900,1,18.0,3,41,7.2292,11.8797920097,4.24134567487,1
901,0,21.0,3,23,24.15,30.886395721,5.58305100425,0
902,0,15.1932492914,3,16,7.8958,6.3145080499,2.59114834042,0
903,0,46.0,1,26,26.0,27.2949503553,3.28089930683,0
904,1,23.0,1,45,82.2667,45.0,2.0,1
905,0,63.0,2,20,26.0,79.0094517557,3.28758052407,0
906,1,47.0,1,55,61.175,31.0,5.0,1
907,1,24.0,2,45,27.7208,50.3000252573,2.86426712881,1
908,0,35.0,2,17,12.35,79.130873145,5.08720722526,0
909,0,21.0,3,17,7.225,95.7130759949,2.14232627691,0
910,0,27.0,3,28,7.925,53.7596903172,1.49494472369,1
911,0,45.0,3,37,7.225,56.5221548496,3.76198450927,1
912,0,55.0,1,22,59.4,33.2321470304,4.0900329231,0
913,0,9.0,3,25,3.1708,39.529343245,4.40102463866,0
914,1,31.2505427336,1,36,31.6833,53.3856584289,1.52908814421,1
915,0,21.0,1,31,61.3792,33.1867862509,4.69802770638,0
916,1,48.0,1,47,262.375,57.0,2.0,1
917,0,50.0,3,23,14.5,27.6605370797,4.06365472754,0
918,1,22.0,1,28,61.9792,36.0,2.0,1
919,0,22.5,3,17,7.225,59.112365889,2.80709405963,0
920,0,41.0,1,23,30.5,21.0,1.0,0
921,0,27.5428849148,3,17,21.6792,50.0687116392,2.70563180737,0
922,0,50.0,2,28,26.0,32.9431911219,4.13120505926,0
923,0,24.0,2,29,31.5,88.6951645832,3.60905218691,0
924,1,33.0,3,40,20.575,33.3387203905,4.47012401618,1
925,1,36.7734802549,3,49,23.45,14.9907767555,4.56813867486,1
926,0,30.0,1,24,57.75,78.0,3.0,0
927,0,18.5,3,48,7.2292,85.3619655208,3.42863535785,0
928,0,43.8898186365,3,19,8.05,9.74506678259,6.74310393039,1
929,1,21.0,3,18,8.6625,60.304717038,2.49864158961,1
930,0,25.0,3,15,9.5,37.7503320501,3.55377218619,0
931,0,30.4821857311,3,13,56.4958,4.48177256356,2.58471607538,0
932,0,39.0,3,16,13.4167,59.2853169252,4.69462368965,0
933,1,7.35313797569,1,27,26.55,34.0,4.0,0
934,0,41.0,3,21,7.85,54.2885570264,2.99001247881,0
935,1,30.0,2,37,13.0,20.5260974156,4.65153872769,1
936,1,45.0,1,48,52.5542,19.0,4.0,1
937,0,25.0,3,31,7.925,9.05476835204,2.14222521494,0
938,0,45.0,1,24,29.7,9.0,1.0,0
939,0,61.2683586433,3,24,7.75,20.942235646,4.40103019983,0
