@relation testTrimmedNoneMissing

@attribute 'Age' numeric
@attribute 'Pclass' numeric
@attribute 'NameLength' numeric
@attribute 'Fare' numeric
@attribute 'DeckCabin' numeric
@attribute 'DeckNumber' numeric
@attribute 'IsFemale' numeric
@attribute 'Survived' numeric


@data
34.5,3.0,16.0,7.8292,7.59215034721,5.47810432098,0.0,?
47.0,3.0,32.0,7.0,77.2413495929,6.49404428673,1.0,?
62.0,2.0,25.0,9.6875,39.9521965173,4.30239291252,0.0,?
27.0,3.0,16.0,8.6625,11.1830985264,3.67197755799,0.0,?
22.0,3.0,44.0,12.2875,59.6737401933,3.81744821665,1.0,?
14.0,3.0,26.0,9.225,38.4513405383,4.53277240447,0.0,?
30.0,3.0,20.0,7.6292,41.8279977488,3.95874462576,1.0,?
26.0,2.0,28.0,29.0,22.3846815492,4.42131446069,0.0,?
18.0,3.0,41.0,7.2292,11.8797920097,4.24134567487,1.0,?
21.0,3.0,23.0,24.15,30.886395721,5.58305100425,0.0,?
15.1932492914,3.0,16.0,7.8958,6.3145080499,2.59114834042,0.0,?
46.0,1.0,26.0,26.0,27.2949503553,3.28089930683,0.0,?
23.0,1.0,45.0,82.2667,45.0,2.0,1.0,?
63.0,2.0,20.0,26.0,79.0094517557,3.28758052407,0.0,?
47.0,1.0,55.0,61.175,31.0,5.0,1.0,?
24.0,2.0,45.0,27.7208,50.3000252573,2.86426712881,1.0,?
35.0,2.0,17.0,12.35,79.130873145,5.08720722526,0.0,?
21.0,3.0,17.0,7.225,95.7130759949,2.14232627691,0.0,?
27.0,3.0,28.0,7.925,53.7596903172,1.49494472369,1.0,?
45.0,3.0,37.0,7.225,56.5221548496,3.76198450927,1.0,?
55.0,1.0,22.0,59.4,33.2321470304,4.0900329231,0.0,?
9.0,3.0,25.0,3.1708,39.529343245,4.40102463866,0.0,?
31.2505427336,1.0,36.0,31.6833,53.3856584289,1.52908814421,1.0,?
21.0,1.0,31.0,61.3792,33.1867862509,4.69802770638,0.0,?
48.0,1.0,47.0,262.375,57.0,2.0,1.0,?
50.0,3.0,23.0,14.5,27.6605370797,4.06365472754,0.0,?
22.0,1.0,28.0,61.9792,36.0,2.0,1.0,?
22.5,3.0,17.0,7.225,59.112365889,2.80709405963,0.0,?
41.0,1.0,23.0,30.5,21.0,1.0,0.0,?
27.5428849148,3.0,17.0,21.6792,50.0687116392,2.70563180737,0.0,?
50.0,2.0,28.0,26.0,32.9431911219,4.13120505926,0.0,?
24.0,2.0,29.0,31.5,88.6951645832,3.60905218691,0.0,?
33.0,3.0,40.0,20.575,33.3387203905,4.47012401618,1.0,?
36.7734802549,3.0,49.0,23.45,14.9907767555,4.56813867486,1.0,?
30.0,1.0,24.0,57.75,78.0,3.0,0.0,?
18.5,3.0,48.0,7.2292,85.3619655208,3.42863535785,0.0,?
43.8898186365,3.0,19.0,8.05,9.74506678259,6.74310393039,1.0,?
21.0,3.0,18.0,8.6625,60.304717038,2.49864158961,1.0,?
25.0,3.0,15.0,9.5,37.7503320501,3.55377218619,0.0,?
30.4821857311,3.0,13.0,56.4958,4.48177256356,2.58471607538,0.0,?
39.0,3.0,16.0,13.4167,59.2853169252,4.69462368965,0.0,?
7.35313797569,1.0,27.0,26.55,34.0,4.0,0.0,?
41.0,3.0,21.0,7.85,54.2885570264,2.99001247881,0.0,?
30.0,2.0,37.0,13.0,20.5260974156,4.65153872769,1.0,?
45.0,1.0,48.0,52.5542,19.0,4.0,1.0,?
25.0,3.0,31.0,7.925,9.05476835204,2.14222521494,0.0,?
45.0,1.0,24.0,29.7,9.0,1.0,0.0,?
61.2683586433,3.0,24.0,7.75,20.942235646,4.40103019983,0.0,?
60.0,1.0,47.0,76.2917,15.0,4.0,1.0,?
36.0,3.0,46.0,15.9,33.3669845222,3.22833530173,1.0,?
24.0,1.0,24.0,60.0,31.0,3.0,0.0,?
27.0,2.0,18.0,15.0333,85.6853955617,2.886256133,0.0,?
20.0,2.0,29.0,23.0,16.5653456263,2.91918445594,1.0,?
28.0,1.0,26.0,263.0,23.0,3.0,1.0,?
16.5398844756,2.0,33.0,15.5792,2.47309714436,4.21121296025,0.0,?
10.0,3.0,20.0,29.125,6.99584607425,4.56930308392,0.0,?
35.0,3.0,15.0,7.8958,64.7749389963,3.61063674813,0.0,?
25.0,3.0,29.0,7.65,63.0,6.0,0.0,?
25.2701439823,3.0,25.0,16.1,25.8687213186,2.98657706357,0.0,?
36.0,1.0,27.0,262.375,61.0,2.0,1.0,?
17.0,3.0,15.0,7.8958,20.0705393593,2.53469855426,0.0,?
32.0,2.0,25.0,13.5,0.673325358346,2.00903454458,0.0,?
18.0,3.0,28.0,7.75,18.0626535025,4.9911598831,0.0,?
22.0,3.0,28.0,7.725,144.182649519,3.71161590908,1.0,?
13.0,1.0,27.0,262.375,57.0,2.0,0.0,?
10.3740451816,2.0,51.0,21.0,140.317254464,1.73972576149,1.0,?
18.0,3.0,23.0,7.8792,55.0206687964,4.50799075494,1.0,?
47.0,1.0,30.0,42.4,25.0285924766,3.80465537848,0.0,?
31.0,1.0,31.0,28.5375,53.0,3.0,0.0,?
60.0,1.0,35.0,263.0,23.0,3.0,1.0,?
24.0,3.0,25.0,7.75,56.8500652303,4.26451894826,1.0,?
21.0,3.0,18.0,7.8958,115.400218085,2.77385396932,0.0,?
29.0,3.0,30.0,7.925,34.7995493139,2.50083981221,1.0,?
28.5,1.0,31.0,27.7208,43.0,4.0,0.0,?
35.0,1.0,20.0,211.5,130.0,3.0,1.0,?
32.5,1.0,18.0,211.5,132.0,3.0,0.0,?
31.2375071408,3.0,16.0,8.05,42.9917882541,2.80517914254,0.0,?
55.0,1.0,52.0,25.7,101.0,3.0,1.0,?
30.0,2.0,30.0,13.0,164.065837707,2.67717779731,0.0,?
24.0,3.0,22.0,7.75,2.79599527652,2.7939999757,1.0,?
6.0,3.0,20.0,15.2458,6.97237770235,4.52059960369,0.0,?
67.0,1.0,18.0,221.7792,55.0,3.0,0.0,?
49.0,1.0,22.0,26.0,33.8161916383,3.5419361546,0.0,?
5.38217212549,3.0,20.0,7.8958,7.36484545626,5.39251125911,0.0,?
24.6742036955,2.0,21.0,10.7083,8.90982011946,2.81107536909,0.0,?
29.9714531111,3.0,18.0,14.4542,55.4869817495,5.73309296511,0.0,?
27.0,3.0,18.0,7.8792,53.0537555045,1.79603181052,1.0,?
18.0,3.0,26.0,8.05,45.3539501903,3.91652266275,1.0,?
16.9067010815,3.0,23.0,7.75,0.451974643743,4.31019454892,1.0,?
2.0,2.0,27.0,23.0,20.6405781308,3.58121362981,0.0,?
22.0,3.0,59.0,13.9,74.8347215778,3.05015333306,1.0,?
30.8056929406,3.0,18.0,7.775,28.6301680978,4.50285130939,0.0,?
27.0,1.0,36.0,52.0,71.0,2.0,1.0,?
14.9243284686,3.0,17.0,8.05,4.36867125912,3.81814110237,0.0,?
25.0,1.0,19.0,26.0,37.0427650275,3.73245665037,0.0,?
25.0,3.0,26.0,7.7958,19.9055463182,2.69907885953,0.0,?
76.0,1.0,54.0,78.85,46.0,3.0,1.0,?
29.0,3.0,25.0,7.925,39.3187276618,4.67213477903,0.0,?
20.0,3.0,28.0,7.8542,31.7036646679,1.07910182299,1.0,?
33.0,3.0,28.0,8.05,48.8795862041,3.43871986412,0.0,?
43.0,1.0,51.0,55.4417,116.0,3.0,1.0,?
27.0,2.0,18.0,26.0,1.11678705907,4.19775312911,0.0,?
47.4178587138,3.0,18.0,7.75,75.1346902272,5.23731067708,0.0,?
26.0,3.0,38.0,7.775,35.6361502869,5.76835188313,0.0,?
16.0,3.0,41.0,8.5167,92.3676572073,2.96421994784,1.0,?
28.0,3.0,25.0,22.525,108.242389767,3.57798325827,0.0,?
21.0,3.0,19.0,7.8208,63.8752833416,3.57077822216,0.0,?
17.4354506045,3.0,16.0,7.75,65.7406458749,4.20903467148,0.0,?
5.44874333328,3.0,32.0,8.7125,68.6355305983,2.79862416211,0.0,?
18.5,2.0,17.0,13.0,12.8146870585,6.0,0.0,?
41.0,2.0,24.0,15.0458,18.5403594355,2.43672153664,0.0,?
7.46628720914,3.0,26.0,7.7792,19.3283033217,1.64325231346,1.0,?
36.0,1.0,24.0,31.6792,29.0,1.0,1.0,?
18.5,3.0,24.0,7.2833,127.218741012,2.20697026948,1.0,?
63.0,1.0,38.0,221.7792,55.0,3.0,1.0,?
18.0,3.0,27.0,14.4542,83.4525240236,3.90578872597,0.0,?
43.6791489173,3.0,16.0,6.4375,74.6126937008,6.51286995273,0.0,?
1.0,3.0,31.0,16.7,6.0,7.0,1.0,?
36.0,1.0,20.0,75.2417,6.0,3.0,0.0,?
29.0,2.0,47.0,26.0,118.522605458,3.42814512831,1.0,?
12.0,2.0,20.0,15.75,28.2453239673,3.23478681072,1.0,?
7.9356108164,3.0,17.0,7.75,46.1165781313,5.0363097575,0.0,?
35.0,1.0,31.0,57.75,28.0,3.0,1.0,?
28.0,3.0,23.0,7.25,72.1621315476,4.11199880867,0.0,?
47.5355072026,3.0,17.0,7.75,18.2873657749,4.35572880258,0.0,?
17.0,3.0,24.0,16.1,61.4340825527,5.31487591017,1.0,?
22.0,3.0,24.0,7.7958,41.6381245979,4.22415319045,0.0,?
16.6923515194,3.0,19.0,23.25,18.244569671,4.56471813455,1.0,?
42.0,2.0,20.0,13.0,66.2665888793,2.14318315938,0.0,?
24.0,3.0,20.0,8.05,35.5385897543,3.20704960693,0.0,?
32.0,3.0,23.0,8.05,79.4934431018,2.84017825084,0.0,?
53.0,1.0,25.0,28.5,51.0,3.0,0.0,?
58.6185671181,3.0,29.0,25.4667,30.263400248,3.48860605375,1.0,?
13.2343736382,3.0,21.0,6.4375,11.037851602,2.83024757597,0.0,?
43.0,3.0,22.0,7.8958,41.7419223271,6.09441693537,0.0,?
24.0,3.0,25.0,7.8542,12.2440312129,6.33910539964,0.0,?
26.5,3.0,25.0,7.225,29.5077778023,5.34883165793,0.0,?
26.0,2.0,19.0,13.0,20.0472920215,4.48832437793,0.0,?
23.0,3.0,21.0,8.05,104.968120537,2.10482816186,1.0,?
40.0,3.0,30.0,46.9,37.8511116615,2.39456465777,0.0,?
10.0,3.0,27.0,46.9,133.937815371,2.67696613403,1.0,?
33.0,1.0,20.0,151.55,18.7320647539,2.50559038485,1.0,?
61.0,1.0,26.0,262.375,57.0,2.0,0.0,?
28.0,2.0,26.0,26.0,62.4862280263,4.74914444022,0.0,?
42.0,1.0,53.0,26.55,46.8417368888,2.10553923882,0.0,?
31.0,3.0,25.0,18.0,33.7285247958,2.76533727183,0.0,?
17.3264444079,1.0,27.0,51.8625,46.0,5.0,0.0,?
22.0,3.0,16.0,8.05,15.7496362029,2.02052457126,0.0,?
13.6620989189,1.0,25.0,26.55,57.0463737051,2.15731168958,0.0,?
30.0,2.0,22.0,26.0,50.0506973791,4.66040857518,0.0,?
23.0,1.0,37.0,83.1583,54.0,3.0,1.0,?
3.19510133421,3.0,20.0,7.8958,45.1777540308,5.26993551934,0.0,?
60.5,3.0,18.0,35.6271884892,11.0019987837,2.11575182514,0.0,?
36.0,3.0,46.0,12.1833,35.355812274,5.75581963776,1.0,?
13.0,3.0,28.0,31.3875,22.0840481918,1.16296103266,0.0,?
24.0,3.0,20.0,7.55,37.7109667756,2.98294587301,0.0,?
29.0,1.0,17.0,221.7792,97.0,3.0,1.0,?
23.0,3.0,24.0,7.8542,35.2129647907,4.03386208246,1.0,?
42.0,1.0,24.0,26.55,22.0,4.0,0.0,?
26.0,3.0,35.0,13.775,55.510103848,4.62558109112,1.0,?
13.7518017905,3.0,18.0,7.7333,77.6275283185,5.53405284509,1.0,?
7.0,3.0,30.0,15.2458,74.0012797854,4.23646684305,0.0,?
26.0,2.0,20.0,13.5,45.1436524645,2.00889474028,1.0,?
16.4464221444,3.0,18.0,7.0,48.5040027718,4.31345849458,0.0,?
41.0,2.0,29.0,13.0,60.1756217982,3.53918223371,0.0,?
26.0,3.0,42.0,22.025,44.5831659392,2.02883160911,1.0,?
48.0,1.0,18.0,50.4958,10.0,2.0,0.0,?
18.0,3.0,23.0,34.375,14.0006755856,4.48766683681,0.0,?
27.3721009801,1.0,59.0,27.7208,14.0457788446,1.0505259789,1.0,?
22.0,3.0,28.0,8.9625,41.3400333205,3.74317597985,1.0,?
5.80887607513,3.0,18.0,7.55,58.3809800861,2.9729626014,0.0,?
27.0,3.0,19.0,7.225,58.4731644165,2.56244471287,0.0,?
23.0,3.0,24.0,13.9,13.5381168237,3.99540324238,0.0,?
41.3529997494,3.0,16.0,7.2292,85.8590102414,3.38236364182,0.0,?
40.0,3.0,42.0,31.3875,2.77774155498,2.19025848435,0.0,?
15.0,2.0,25.0,39.0,35.3930125816,2.4741754357,1.0,?
20.0,2.0,20.0,36.75,20.6230072173,4.17721215923,1.0,?
54.0,1.0,31.0,55.4417,116.0,3.0,0.0,?
36.0,2.0,48.0,39.0,4.0,6.0,1.0,?
64.0,1.0,53.0,83.1583,45.0,5.0,1.0,?
30.0,2.0,25.0,13.0,68.2477521306,2.72394944386,0.0,?
37.0,1.0,32.0,83.1583,52.0,5.0,0.0,?
18.0,1.0,62.0,53.1,30.0,4.0,1.0,?
21.6315012795,3.0,17.0,7.75,41.9142718944,1.68717613545,0.0,?
27.0,1.0,52.0,247.5208,58.0,2.0,1.0,?
40.0,2.0,25.0,16.0,57.6025676524,4.02666548692,0.0,?
21.0,2.0,36.0,21.0,25.3629880691,5.15787137941,1.0,?
