@relation titanic

@attribute 'Pclass' numeric
@attribute 'NameLength' numeric
@attribute 'Sex' {male, female}
@attribute 'Age' numeric
@attribute 'SibSp' numeric
@attribute 'Parch' numeric
@attribute 'Fare' numeric
@attribute 'Deck' {A, B, C, D, E, F, G, T}
@attribute 'DeckCabin' numeric
@attribute 'Embarked' {S, Q, C}
@attribute 'Survived' {yes, no}


@data
3,23,male,22.0,1,0,7.25,?,?,S,no
1,51,female,38.0,1,0,71.2833,C,85.0,C,yes
3,22,female,26.0,0,0,7.925,?,?,S,yes
1,44,female,35.0,1,0,53.1,C,123.0,S,yes
3,24,male,35.0,0,0,8.05,?,?,S,no
3,16,male,?,0,0,8.4583,?,?,Q,no
1,23,male,54.0,0,0,51.8625,E,46.0,S,no
3,30,male,2.0,3,1,21.075,?,?,S,no
3,49,female,27.0,0,2,11.1333,?,?,S,yes
2,35,female,14.0,1,0,30.0708,?,?,C,yes
3,31,female,4.0,1,1,16.7,G,6.0,S,yes
1,24,female,58.0,0,0,26.55,C,103.0,S,yes
3,30,male,20.0,0,0,8.05,?,?,S,no
3,27,male,39.0,1,5,31.275,?,?,S,no
3,36,female,14.0,0,0,7.8542,?,?,S,no
2,32,female,55.0,0,0,16.0,?,?,S,yes
3,20,male,2.0,4,1,29.125,?,?,Q,no
2,28,male,?,0,0,13.0,?,?,S,yes
3,55,female,31.0,1,0,18.0,?,?,S,no
3,23,female,?,0,0,7.225,?,?,C,yes
2,20,male,35.0,0,0,26.0,?,?,S,no
2,21,male,34.0,0,0,13.0,D,56.0,S,yes
3,27,female,15.0,0,0,8.0292,?,?,Q,yes
1,28,male,28.0,0,0,35.5,A,6.0,S,yes
3,29,female,8.0,3,1,21.075,?,?,S,no
3,57,female,38.0,1,5,31.3875,?,?,S,yes
3,23,male,?,0,0,7.225,?,?,C,no
1,30,male,19.0,3,2,263.0,C,23.0,S,no
3,29,female,?,0,0,7.8792,?,?,Q,yes
3,19,male,?,0,0,7.8958,?,?,S,no
1,24,male,40.0,0,0,27.7208,?,?,C,no
1,46,female,?,1,0,146.5208,B,78.0,C,yes
3,24,female,?,0,0,7.75,?,?,Q,yes
2,21,male,66.0,0,0,10.5,?,?,S,no
1,23,male,28.0,1,0,82.1708,?,?,C,no
1,30,male,42.0,1,0,52.0,?,?,S,no
3,16,male,?,0,0,7.2292,?,?,C,yes
3,24,male,21.0,0,0,8.05,?,?,S,no
3,34,female,18.0,2,0,18.0,?,?,S,no
3,27,female,14.0,1,0,11.2417,?,?,C,yes
3,46,female,40.0,1,0,9.475,?,?,S,no
2,56,female,27.0,1,0,21.0,?,?,S,no
3,19,male,?,0,0,7.8958,?,?,C,no
2,40,female,3.0,1,2,41.5792,?,?,C,yes
3,29,female,19.0,0,0,7.8792,?,?,Q,yes
3,24,male,?,0,0,8.05,?,?,S,no
3,17,male,?,1,0,15.5,?,?,Q,no
3,25,female,?,0,0,7.75,?,?,Q,yes
3,19,male,?,2,0,21.6792,?,?,C,no
3,45,female,18.0,1,0,17.8,?,?,S,no
3,26,male,7.0,4,1,39.6875,?,?,S,no
3,28,male,21.0,0,0,7.8,?,?,S,no
1,40,female,49.0,1,0,76.7292,D,33.0,C,yes
2,50,female,29.0,1,0,26.0,?,?,S,yes
1,30,male,65.0,0,1,61.9792,B,30.0,C,no
1,17,male,?,0,0,35.5,C,52.0,S,yes
2,17,female,21.0,0,0,10.5,?,?,S,yes
3,19,male,28.5,0,0,7.2292,?,?,C,no
2,28,female,5.0,1,2,27.75,?,?,S,yes
3,34,male,11.0,5,2,46.9,?,?,S,no
3,21,male,22.0,0,0,7.2292,?,?,C,no
1,19,female,38.0,0,0,80.0,B,28.0,?,yes
1,27,male,45.0,1,0,83.475,C,83.0,S,no
3,21,male,4.0,3,2,27.9,?,?,S,no
1,21,male,?,0,0,27.7208,?,?,C,no
3,24,male,?,1,1,15.2458,?,?,C,yes
2,28,female,29.0,0,0,10.5,F,33.0,S,yes
3,24,male,19.0,0,0,8.1583,?,?,S,no
3,31,female,17.0,4,2,7.925,?,?,S,yes
3,17,male,26.0,2,0,8.6625,?,?,S,no
2,26,male,32.0,0,0,10.5,?,?,S,no
3,26,female,16.0,5,2,46.9,?,?,S,no
2,20,male,21.0,0,0,73.5,?,?,S,no
3,27,male,26.0,1,0,14.4542,?,?,C,no
3,13,male,32.0,0,0,56.4958,?,?,S,yes
3,23,male,25.0,0,0,7.65,F,73.0,S,no
3,17,male,?,0,0,7.8958,?,?,S,no
3,24,male,?,0,0,8.05,?,?,S,no
2,29,male,0.83,0,2,29.0,?,?,S,yes
3,24,female,30.0,0,0,12.475,?,?,S,yes
3,20,male,22.0,0,0,9.0,?,?,S,no
3,27,male,29.0,0,0,9.5,?,?,S,yes
3,30,female,?,0,0,7.7875,?,?,Q,yes
1,23,male,28.0,0,0,47.1,?,?,S,no
2,19,female,17.0,0,0,10.5,?,?,S,yes
3,55,female,33.0,3,0,15.85,?,?,S,yes
3,22,male,16.0,1,3,34.375,?,?,S,no
3,29,male,?,0,0,8.05,?,?,S,no
1,26,female,23.0,3,2,263.0,C,23.0,S,yes
3,22,male,24.0,0,0,8.05,?,?,S,no
3,20,male,29.0,0,0,8.05,?,?,S,no
3,26,male,20.0,0,0,7.8542,?,?,S,no
1,27,male,46.0,1,0,61.175,E,31.0,S,no
3,23,male,26.0,1,2,20.575,?,?,S,no
3,17,male,59.0,0,0,7.25,?,?,S,no
3,27,male,?,0,0,8.05,?,?,S,no
1,25,male,71.0,0,0,34.6542,A,5.0,C,no
1,31,male,23.0,0,1,63.3583,D,10.0,C,yes
2,36,female,34.0,0,1,23.0,?,?,S,yes
2,17,male,34.0,1,0,26.0,?,?,S,no
3,23,female,28.0,0,0,7.8958,?,?,S,no
3,32,male,?,0,0,7.8958,?,?,S,no
1,25,male,21.0,0,1,77.2875,D,26.0,S,no
3,26,male,33.0,0,0,8.6542,?,?,S,no
3,30,male,37.0,2,0,7.925,?,?,S,no
