@relation trainTrimmedNoneMissing

@attribute 'Age' numeric
@attribute 'Pclass' numeric
@attribute 'NameLength' numeric
@attribute 'Fare' numeric
@attribute 'DeckCabin' numeric
@attribute 'DeckNumber' numeric
@attribute 'IsFemale' numeric
@attribute 'Survived' numeric


@data
22.0,3.0,23.0,7.25,0.490038188109,5.63664990742,0.0,0.0
38.0,1.0,51.0,71.2833,85.0,3.0,1.0,1.0
26.0,3.0,22.0,7.925,81.9117291355,6.70023745693,1.0,1.0
35.0,1.0,44.0,53.1,123.0,3.0,1.0,1.0
35.0,3.0,24.0,8.05,43.1065204257,4.40579763464,0.0,0.0
14.1958404352,3.0,16.0,8.4583,5.21912845244,3.74581580038,0.0,0.0
54.0,1.0,23.0,51.8625,46.0,5.0,0.0,0.0
2.0,3.0,30.0,21.075,67.649083166,3.89810903284,0.0,0.0
27.0,3.0,49.0,11.1333,37.5570441169,4.64698192462,1.0,1.0
14.0,2.0,35.0,30.0708,43.2063917988,4.04603224345,1.0,1.0
4.0,3.0,31.0,16.7,6.0,7.0,1.0,1.0
58.0,1.0,24.0,26.55,103.0,3.0,1.0,1.0
20.0,3.0,30.0,8.05,19.9710253259,4.53029660334,0.0,0.0
39.0,3.0,27.0,31.275,12.5773858534,0.379807439825,0.0,0.0
14.0,3.0,36.0,7.8542,28.1072466776,4.34188728158,1.0,0.0
55.0,2.0,32.0,16.0,23.6209705658,5.74651859007,1.0,1.0
2.0,3.0,20.0,29.125,94.5428754718,2.61429569318,0.0,0.0
31.6572486772,2.0,28.0,13.0,56.8480003664,3.33639597948,0.0,1.0
31.0,3.0,55.0,18.0,88.3721329708,0.605791926746,1.0,0.0
25.0389429557,3.0,23.0,7.225,109.085893853,3.34339054581,1.0,1.0
35.0,2.0,20.0,26.0,60.8344805426,2.90022375258,0.0,0.0
34.0,2.0,21.0,13.0,56.0,4.0,0.0,1.0
15.0,3.0,27.0,8.0292,59.266501273,5.22741973816,1.0,1.0
28.0,1.0,28.0,35.5,6.0,1.0,0.0,1.0
8.0,3.0,29.0,21.075,31.0374563819,2.14442387518,1.0,0.0
38.0,3.0,57.0,31.3875,38.9036378415,1.46668012751,1.0,1.0
36.9115632639,3.0,23.0,7.225,60.4034935303,3.84004407762,0.0,0.0
19.0,1.0,30.0,263.0,23.0,3.0,0.0,0.0
40.3694728194,3.0,29.0,7.8792,30.9807936847,0.804588447273,1.0,1.0
30.9562574756,3.0,19.0,7.8958,26.9190501317,4.18347796185,0.0,0.0
40.0,1.0,24.0,27.7208,68.3394577771,4.50905518867,0.0,0.0
4.8467558449,1.0,46.0,146.5208,78.0,2.0,1.0,1.0
60.5795057398,3.0,24.0,7.75,52.0689548227,1.50242487443,1.0,1.0
66.0,2.0,21.0,10.5,33.8760282204,4.81998770009,0.0,0.0
28.0,1.0,23.0,82.1708,107.298450866,4.15586262894,0.0,0.0
42.0,1.0,30.0,52.0,37.3039391798,2.84036926649,0.0,0.0
15.6720822508,3.0,16.0,7.2292,16.1620909631,2.73414843466,0.0,1.0
21.0,3.0,24.0,8.05,102.908802659,4.22658107117,0.0,0.0
18.0,3.0,34.0,18.0,8.14106753177,3.67993922944,1.0,0.0
14.0,3.0,27.0,11.2417,63.4006862026,4.58139532696,1.0,1.0
40.0,3.0,46.0,9.475,36.6813750438,4.68400687307,1.0,0.0
27.0,2.0,56.0,21.0,63.5819341154,3.49106085121,1.0,0.0
25.242583821,3.0,19.0,7.8958,61.9867547053,6.96097799772,0.0,0.0
3.0,2.0,40.0,41.5792,19.9242906879,2.51745037582,1.0,1.0
19.0,3.0,29.0,7.8792,0.836134806547,3.62206659671,1.0,1.0
11.7961357847,3.0,24.0,8.05,18.071399785,2.60756175491,0.0,0.0
31.7842746418,3.0,17.0,15.5,37.3365071882,4.81642403498,0.0,0.0
3.58345095841,3.0,25.0,7.75,96.5597550416,3.03186655941,1.0,1.0
24.5892873817,3.0,19.0,21.6792,17.9764248599,0.816629661158,0.0,0.0
18.0,3.0,45.0,17.8,70.4393293568,4.77131838832,1.0,0.0
7.0,3.0,26.0,39.6875,24.559322826,2.1443180734,0.0,0.0
21.0,3.0,28.0,7.8,16.9234215304,4.50906101066,0.0,0.0
49.0,1.0,40.0,76.7292,33.0,4.0,1.0,1.0
29.0,2.0,50.0,26.0,12.0883900556,0.799056289522,1.0,1.0
65.0,1.0,30.0,61.9792,30.0,2.0,0.0,0.0
30.3963694977,1.0,17.0,35.5,52.0,3.0,0.0,1.0
21.0,2.0,17.0,10.5,155.075817268,3.28136672258,1.0,1.0
28.5,3.0,19.0,7.2292,160.572463153,2.92324404105,0.0,0.0
5.0,2.0,28.0,27.75,57.6254387593,2.95771670231,1.0,1.0
11.0,3.0,34.0,46.9,23.4529172393,4.31034134266,0.0,0.0
22.0,3.0,21.0,7.2292,64.3954374894,4.68522589292,0.0,0.0
38.0,1.0,19.0,80.0,28.0,2.0,1.0,1.0
45.0,1.0,27.0,83.475,83.0,3.0,0.0,0.0
4.0,3.0,21.0,27.9,142.467604588,3.68159810657,0.0,0.0
18.0110583785,1.0,21.0,27.7208,38.9872135555,3.0282700232,0.0,0.0
31.3109005712,3.0,24.0,15.2458,47.1095031959,2.55519841209,0.0,1.0
29.0,2.0,28.0,10.5,33.0,6.0,1.0,1.0
19.0,3.0,24.0,8.1583,206.557671188,2.00488076068,0.0,0.0
17.0,3.0,31.0,7.925,0.546018127717,5.12686777571,1.0,1.0
26.0,3.0,17.0,8.6625,35.0257240769,3.78731319011,0.0,0.0
32.0,2.0,26.0,10.5,0.190689577879,0.430107517607,0.0,0.0
16.0,3.0,26.0,46.9,0.655071828534,1.72294139583,1.0,0.0
21.0,2.0,20.0,73.5,63.5650171606,4.62103801574,0.0,0.0
26.0,3.0,27.0,14.4542,60.0210506043,3.88471621056,0.0,0.0
32.0,3.0,13.0,56.4958,51.1487694109,4.36614738148,0.0,1.0
25.0,3.0,23.0,7.65,73.0,6.0,0.0,0.0
13.9010373821,3.0,17.0,7.8958,17.6741326713,2.80557021596,0.0,0.0
49.5219008852,3.0,24.0,8.05,85.1186794119,2.51975169506,0.0,0.0
0.83,2.0,29.0,29.0,28.1960032869,2.83836453979,0.0,1.0
30.0,3.0,24.0,12.475,35.797513337,2.70435993154,1.0,1.0
22.0,3.0,20.0,9.0,16.7061343557,2.82666107003,0.0,0.0
29.0,3.0,27.0,9.5,42.2722751936,4.63423821949,0.0,1.0
14.3875313081,3.0,30.0,7.7875,32.1409120631,3.60967545525,1.0,1.0
28.0,1.0,23.0,47.1,54.8634240474,5.547042531,0.0,0.0
17.0,2.0,19.0,10.5,83.3802764515,2.84453729936,1.0,1.0
