@relation trainTrimmedNoneMissing

@attribute 'Survived' {yes, no}
@attribute 'Sex' {male, female}
@attribute 'Age' numeric
@attribute 'Fare' numeric
@attribute 'Embarked' {S, Q, C}
@attribute 'NameLength' numeric
@attribute 'Deck' {A, B, C, D, E, F, G, T}
@attribute 'DeckCabin' numeric


@data
no,male,22.0,7.25,S,23,5.63664990742,1.30084211567
yes,female,38.0,71.2833,C,51,3.0,85.0
yes,female,26.0,7.925,S,22,6.70023745693,84.3819758913
yes,female,35.0,53.1,S,44,3.0,123.0
no,male,35.0,8.05,S,24,4.40579763464,42.7464109039
no,male,14.6653421049,8.4583,Q,16,3.74581580038,5.89999778421
no,male,54.0,51.8625,S,23,5.0,46.0
no,male,2.0,21.075,S,30,3.89810903284,66.61465199
yes,female,27.0,11.1333,S,49,4.64698192462,38.0319609406
yes,female,14.0,30.0708,C,35,4.04603224345,43.9354489128
yes,female,4.0,16.7,S,31,7.0,6.0
yes,female,58.0,26.55,S,24,3.0,103.0
no,male,20.0,8.05,S,30,4.53029660334,20.2465774296
no,male,39.0,31.275,S,27,0.379807439825,13.056082643
no,female,14.0,7.8542,S,36,4.34188728158,31.1352633626
yes,female,55.0,16.0,S,32,5.74651859007,23.468962304
no,male,2.0,29.125,Q,20,2.61429569318,92.769521197
yes,male,29.2915862786,13.0,S,28,3.33639597948,53.6115758915
no,female,31.0,18.0,S,55,0.605791926746,92.9250332911
yes,female,25.2955010116,7.225,C,23,3.34339054581,112.7785915
no,male,35.0,26.0,S,20,2.90022375258,59.9872846673
yes,male,34.0,13.0,S,21,4.0,56.0
yes,female,15.0,8.0292,Q,27,5.22741973816,60.718034877
yes,male,28.0,35.5,S,28,1.0,6.0
no,female,8.0,21.075,S,29,2.14442387518,34.1396162223
yes,female,38.0,31.3875,S,57,1.46668012751,39.4391322291
no,male,36.5978475755,7.225,C,23,3.84004407762,59.568139282
no,male,19.0,263.0,S,30,3.0,23.0
yes,female,41.5395574835,7.8792,Q,29,0.804588447273,31.1598727783
no,male,30.8478752869,7.8958,S,19,4.18347796185,27.0037010801
no,male,40.0,27.7208,C,24,4.50905518867,67.286058144
yes,female,3.69676248858,146.5208,C,46,2.0,78.0
yes,female,62.9538803398,7.75,Q,24,1.50242487443,53.1967012131
no,male,66.0,10.5,S,21,4.81998770009,33.7695320167
no,male,28.0,82.1708,C,23,4.15586262894,105.174629495
no,male,42.0,52.0,S,30,2.84036926649,37.1032590633
yes,male,13.009382583,7.2292,C,16,2.73414843466,13.2839480971
no,male,21.0,8.05,S,24,4.22658107117,100.905589509
no,female,18.0,18.0,S,34,3.67993922944,10.6638795826
yes,female,14.0,11.2417,C,27,4.58139532696,65.0381993245
no,female,40.0,9.475,S,46,4.68400687307,39.9263430721
no,female,27.0,21.0,S,56,3.49106085121,67.5075675333
no,male,25.3312038769,7.8958,C,19,6.96097799772,61.1078994051
yes,female,3.0,41.5792,C,40,2.51745037582,19.6059844126
yes,female,19.0,7.8792,Q,29,3.62206659671,15.1764434755
no,male,12.3483770772,8.05,S,24,2.60756175491,37.1349322461
no,male,31.6473431782,15.5,Q,17,4.81642403498,101.319826929
yes,female,2.59202440033,7.75,Q,25,3.03186655941,15.0823049031
no,male,24.7004325016,21.6792,C,19,0.816629661158,0.53711731646
no,female,18.0,17.8,S,45,4.77131838832,74.538475585
no,male,7.0,39.6875,S,26,2.1443180734,24.7088086996
no,male,21.0,7.8,S,28,4.50906101066,17.282708379
yes,female,49.0,76.7292,C,40,4.0,33.0
yes,female,29.0,26.0,S,50,0.799056289522,11.4175797084
no,male,65.0,61.9792,C,30,2.0,30.0
yes,male,28.0072773708,35.5,S,17,3.0,52.0
yes,female,21.0,10.5,S,17,3.28136672258,160.837407316
no,male,28.5,7.2292,C,19,2.92324404105,156.984906292
yes,female,5.0,27.75,S,28,2.95771670231,59.0031478924
no,male,11.0,46.9,S,34,4.31034134266,23.632802271
no,male,22.0,7.2292,C,21,4.68522589292,63.4504021829
yes,female,38.0,80.0,?,19,2.0,28.0
no,male,45.0,83.475,S,27,3.0,83.0
no,male,4.0,27.9,S,21,3.68159810657,139.377489592
no,male,18.3490148211,27.7208,C,21,3.0282700232,38.7402844644
yes,male,28.9388023125,15.2458,C,24,2.55519841209,43.9588362839
yes,female,29.0,10.5,S,28,6.0,33.0
no,male,19.0,8.1583,S,24,2.00488076068,201.706643113
yes,female,17.0,7.925,S,31,5.12686777571,31.9814673666
no,male,26.0,8.6625,S,17,3.78731319011,1.00971828833
no,male,32.0,10.5,S,26,0.430107517607,2.98846557883
no,female,16.0,46.9,S,26,1.72294139583,62.6427981514
no,male,21.0,73.5,S,20,4.62103801574,59.1962042051
no,male,26.0,14.4542,C,27,3.88471621056,50.5676942672
yes,male,32.0,56.4958,S,13,4.36614738148,14.7826747105
no,male,25.0,7.65,S,23,6.0,73.0
no,male,14.3807035916,7.8958,S,17,2.80557021596,83.604260585
no,male,48.7733922831,8.05,S,24,2.51975169506,28.2455691802
yes,male,0.83,29.0,S,29,2.83836453979,36.1932763028
yes,female,30.0,12.475,S,24,2.70435993154,13.8232006237
no,male,22.0,9.0,S,20,2.82666107003,41.9350870606
yes,male,29.0,9.5,S,27,4.63423821949,32.3721799824
yes,female,14.0093854078,7.7875,Q,30,3.60967545525,51.6444758243
no,male,28.0,47.1,S,23,5.547042531,87.8068677254
yes,female,17.0,10.5,S,19,2.84453729936,34.3571511572
yes,female,33.0,15.85,S,55,5.9035975188,101.658132402
no,male,16.0,34.375,S,22,1.78188819852,130.210003724
no,male,4.78753595052,8.05,S,29,4.00183007039,73.3862293822
